"Method","Fidelity ↑","Stability ↑","Comp. Time (ms)"
"GradCAM++","","","143.64"
"EigenCAM","","","775.52"
"HiResCAM","","","122.19"
"GradCAM++","","","194.19"
"EigenCAM","","","354.71"
"HiResCAM","","","171.45"
"GradCAM++","","","126.10"
"EigenCAM","","","314.07"
"HiResCAM","","","92.72"
"GradCAM++","","","271.92"
"EigenCAM","","","285.79"
"HiResCAM","","","239.24"
